actual	baseline	metrics	method	n	t
0.8	0.2	purity_90	Siamese	1100	29.6492760181427
0.4358974358974359	0.20512820512820512	consistency	Siamese	1100	29.6492760181427
0.056666666666666664	0.056666666666666664	retention	Blosum62	1200	4.628324508666992
0.9852941176470589	0.5588235294117647	purity	Blosum62	1200	4.628324508666992
1.0	0.18181818181818182	purity_90	Blosum62	1200	4.628324508666992
0.4117647058823529	0.19117647058823528	consistency	Blosum62	1200	4.628324508666992
0.034166666666666665	0.034166666666666665	retention	Default	1200	0.3119368553161621
1.0	0.7073170731707317	purity	Default	1200	0.3119368553161621
1.0	0.35294117647058826	purity_90	Default	1200	0.3119368553161621
0.2926829268292683	0.1951219512195122	consistency	Default	1200	0.3119368553161621
0.04416666666666667	0.04416666666666667	retention	Siamese	1200	29.864563465118408
0.9245283018867925	0.660377358490566	purity	Siamese	1200	29.864563465118408
0.8095238095238095	0.23809523809523808	purity_90	Siamese	1200	29.864563465118408
0.32075471698113206	0.18867924528301888	consistency	Siamese	1200	29.864563465118408
0.05846153846153846	0.05846153846153846	retention	Blosum62	1300	5.314496040344238
0.9868421052631579	0.6973684210526315	purity	Blosum62	1300	5.314496040344238
1.0	0.36	purity_90	Blosum62	1300	5.314496040344238
0.3815789473684211	0.23684210526315788	consistency	Blosum62	1300	5.314496040344238
0.036923076923076927	0.036923076923076927	retention	Default	1300	0.34330272674560547
1.0	0.6875	purity	Default	1300	0.34330272674560547
1.0	0.3684210526315789	purity_90	Default	1300	0.34330272674560547
0.2708333333333333	0.16666666666666666	consistency	Default	1300	0.34330272674560547
0.04461538461538461	0.04461538461538461	retention	Siamese	1300	30.15003991127014
0.9310344827586207	0.7068965517241379	purity	Siamese	1300	30.15003991127014
0.8181818181818182	0.2727272727272727	purity_90	Siamese	1300	30.15003991127014
0.3103448275862069	0.20689655172413793	consistency	Siamese	1300	30.15003991127014
0.06428571428571428	0.06428571428571428	retention	Blosum62	1400	6.150301218032837
0.9777777777777777	0.6	purity	Blosum62	1400	6.150301218032837
0.9666666666666667	0.16666666666666666	purity_90	Blosum62	1400	6.150301218032837
0.34444444444444444	0.17777777777777778	consistency	Blosum62	1400	6.150301218032837
0.03857142857142857	0.03857142857142857	retention	Default	1400	0.35993456840515137
1.0	0.7222222222222222	purity	Default	1400	0.35993456840515137
1.0	0.45454545454545453	purity_90	Default	1400	0.35993456840515137
0.24074074074074073	0.14814814814814814	consistency	Default	1400	0.35993456840515137
0.047142857142857146	0.047142857142857146	retention	Siamese	1400	30.82297420501709
0.9242424242424242	0.7121212121212122	purity	Siamese	1400	30.82297420501709
0.8	0.28	purity_90	Siamese	1400	30.82297420501709
0.2727272727272727	0.21212121212121213	consistency	Siamese	1400	30.82297420501709
0.06533333333333333	0.06533333333333333	retention	Blosum62	1500	7.027283430099487
0.9795918367346939	0.6122448979591837	purity	Blosum62	1500	7.027283430099487
0.967741935483871	0.22580645161290322	purity_90	Blosum62	1500	7.027283430099487
0.32653061224489793	0.16326530612244897	consistency	Blosum62	1500	7.027283430099487
0.03933333333333333	0.03933333333333333	retention	Default	1500	0.38684678077697754
1.0	0.7288135593220338	purity	Default	1500	0.38684678077697754
1.0	0.391304347826087	purity_90	Default	1500	0.38684678077697754
0.23728813559322035	0.1694915254237288	consistency	Default	1500	0.38684678077697754
0.048666666666666664	0.048666666666666664	retention	Siamese	1500	31.235811948776245
